CBS,Naam,Prov,Suppletie nieuwe verdeling GF,Beschermd wonen,Participatie,Voogdij/18+,aanpak laaggeletterdheid,armoedebestrijding kinderen,beeldende kunst en vormgeving,BRP: Centralisering Inschrijving Vergunninghouders,experiment gesloten coffeeshopketen,extra capaciteit BOA's,jeugd,jeugdhulp aan kinderen in een AZC,knelpunten verdeelproblematiek,maatschappelijke opvang,personen met verward gedrag,slavernijverleden,Uitstapprogramma prostituees,veiligheidshuizen,vergunningverlening, toezicht en handhaving,versterking arbeidsmarktregio's,versterking omgevingsveiligheidsdiensten,voorschoolse voorziening peuters,vrouwenopvang
168,Losser,4,1314288,0,2901918,0,0,91762,0,0,0,32600,0,0,0,0,0,0,0,0,84638,0,3000,38462,0
173,Oldenzaal,4,-1710347,0,6150281,0,0,132515,0,0,0,34239,0,0,0,0,0,0,0,0,71505,0,5000,50156,0
1773,Olst-Wijhe,4,1324473,0,1973344,0,0,60455,0,0,0,31758,0,0,0,0,0,0,0,0,25294,0,5000,31367,0
175,Ommen,4,-1388526,0,2584055,0,0,60455,0,0,0,31745,0,0,0,0,0,0,0,0,15566,0,8000,38500,0
177,Raalte,4,472785,0,4046714,0,0,118211,0,0,0,35394,0,3907,0,0,0,0,0,0,125985,0,9000,62132,0
1742,Rijssen-Holten,4,-39726,0,2793815,0,0,111733,0,0,0,35448,0,0,0,0,0,0,0,0,50102,0,9000,66417,0
180,Staphorst,4,-1833443,0,1055095,0,0,33466,0,0,0,31553,0,0,0,0,0,0,0,0,90962,0,4000,33686,0
1708,Steenwijkerland,4,-2593816,0,6313193,0,0,165441,0,0,0,36589,0,0,0,0,0,0,0,0,157603,0,7000,98045,0
183,Tubbergen,4,387386,0,1990087,0,0,46151,0,0,0,32307,0,0,0,0,0,0,0,0,58371,0,3000,40479,0
1700,Twenterand,4,1692033,0,6284536,0,0,125768,0,0,0,34610,0,0,0,0,0,0,0,0,93394,0,6000,61488,0
189,Wierden,4,-724873,0,2005791,0,0,53708,0,0,0,32906,0,0,0,0,0,0,0,0,57398,0,5000,41699,0
1896,Zwartewaterland,4,-66950,0,939766,0,0,66932,0,0,0,32588,0,0,0,0,0,0,0,0,333690,0,3000,40429,0
